AC,4
Abrasives,3
AdvancedTech,3
Agriculture,3
AgroChemicals,14
AlcoholicBeverages,11
AlkaliChemicals,4
Aluminium,3
AssetManagement,29
AutoAncillary,55
BPO,5
Banks,31
Batteries,3
Bearings,4
BuildingProducts,15
CablesElectricals,6
Carbon,3
Castings&Forgings,4
Cement,24
Ceramics,3
Chemicals,65
CityGas,6
CivilConstruction,20
Coal,3
CommercialVehicles,3
CommunicationEquipment,10
Copper,3
DairyProducts,5
Defence,18
DiagnosticChains,8
Dyes&Pigments,3
EMS,10
EdibleOil,7
ElectricVehicle,3
ElectricalAppliances,16
ElectricalEquipment,3
Engineering&Construction,6
Entertainment,2
Exchange,6
Explosives,3
FMCG,14
Fans,2
Fertilizer,9
Footwear&Accessories,6
Garments&Apparels,11
GeneralInsurance,7
Generators&Pumps,10
GlassProducts,6
HeavyElectrical,21
HeavyEngineering,4
HeavyMachinery,9
HoldingCompanies,7
HomeFinance,11
HomeFurnishing,3
Hospitality,14
Hospitals,13
HouseholdAppliances,4
ITLargeCap,7
ITMidCap,11
ITSmallCap,24
ITeS,19
InfraFinancing,7
InnerwearManufacturers,4
Insurance,15
InvestmentFirm,6
Jewellery,12
LifeInsurance,12
Logistics,18
Lubricants,6
LuxuryWare,2
Media&Entertainment,8
MedicalEquipment,2
MetalPipes,14
Metals,17
MicroFinance,5
Mining,5
N,133
NBFC-Deposit-Taking,12
NBFC-NonDepositTaking,16
NBFC-SmallFinance,8
OilRefiners,5
PSU,33
PackagedFood,10
PackagedMeat,4
Packaging&Containers,8
PackagingFilms,7
PaintManufacturers,6
Paper&Board,5
PassengerCars&UtilityVehicles,4
PersonalCare,5
PetroProducts,5
Pharma,63
Pharma-API&CRAMS,23
Pharma-SmallCap,31
PipeManufacturers,19
Piston,2
PlasticPipes,5
Platform,18
Plywood,5
Polymers,16
Ports,4
Power,19
PrivateBank,17
PublicBank,14
QSR,6
Railways,5
RailwaysWagons,3
RatingAgencies,3
RealEstate,27
RealEstateMumbai,4
RealEstateNorth,3
RealEstateOther,3
RealEstateSouth,4
Recycling,9
Refractories,5
RenewableEnergy,8
RetailChains,13
Rice,3
Shipping,3
SoftwareProducts,6
SolarPanelMfg,4
SpecialityChemicals,24
StaffingServices,4
Stationary,4
Steel,5
Stockbroking,8
Sugar,9
TeaCoffee,2
Telecom,6
Textiles,12
Tobacco,3
Tractors,2
Transformers,6
TravelServices,10
Turbines,2
TwoThreeWheelers,5
Tyre,7
WasteManagement,2
WaterSupply,4
Yarn,6
Zinc,2
